,title,category,price,rating,url
10,Ratna Swarup's Business Game Senior (with Currency Notes),In-game Currency,₹250.00,4.1 out of 5 stars,https://www.amazon.in/Swarups-Business-Senior-Currency-Notes/dp/B07KXNWGVS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-6
11,"Skillmatics Card Game - Guess in 10 Countries of The World, Perfect for Boys, Girls, Kids, and Families Who Love Educational Toys, Travel Friendly, Gifts for Ages 8, 9, 10 & Up",In-game Currency,₹332.50,4.4 out of 5 stars,https://www.amazon.in/Skillmatics-Countries-World-Questions-Knowledge/dp/B08GKP3L51/ref=sr_1_7?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-7
12,Fake Money 10 x 6 Units Set Total 60 Notes for Kids Learn Money Skills Dummy Note Nakli Note Set All New 10 | 20 | 50 | 100 | 200 | 500 Artificial Playing Currency - Multi Color,In-game Currency,₹185.00,,https://www.amazon.in/Money-Skills-Artificial-Playing-Currency/dp/B0D5QDMKXR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-8
13,"MSGH Indian Currency Duplicate Money Notes Kids 100 Units Each Denomination All New 10, 20, 50, 100, 200, 500 Artificial Currency 2023 Trending Toys",In-game Currency,₹319.00,4.5 out of 5 stars,https://www.amazon.in/MSGH-Currency-Duplicate-Denomination-Artificial/dp/B0CVQK1R25/ref=sr_1_9?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-9
14,"(Total 600 Fake Notes) Playing Indian Currency Fake Note Fake Currency Notes Dummy Rupee Bundle Money For Kids To Play Nakli Note Learning And Education Money For Kids,Green",In-game Currency,₹229.00,1.0 out of 5 stars,https://www.amazon.in/Playing-Indian-Currency-Learning-Education/dp/B0CZJHSTFC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-10
15,"(200 Each X 6 = 1200) Fake Note Playing Indian Currency Fake Note Nakli Note Duplicate Money Fake Currency Notes Fake Money For Kids To Play Nakli Note Learning And Education Money For Kids,Green",In-game Currency,₹390.00,2.0 out of 5 stars,https://www.amazon.in/Playing-Currency-Duplicate-Learning-Education/dp/B0CZJGXF6H/ref=sr_1_11?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-11
16,"1200 Dummy Indian Currency Duplicate Money,Denomination All New 10, 20, 50, 100, 200, 500 Artificial Currency 2023 Trending Toys - Multicolor",In-game Currency,₹329.00,2.5 out of 5 stars,https://www.amazon.in/Currency-Duplicate-Denomination-Artificial-Trending/dp/B0CY82PVCL/ref=sr_1_12?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-12
17,GAMESHUB 50 Countries Flags Flash Cards Game for Kids - 4 in 1 Gaming Flash Cards - Laminated Paper Cards of The Flags of The World - Size 3 x 4 inch,In-game Currency,₹199.00,4.0 out of 5 stars,https://www.amazon.in/GAMESHUB-Countries-Flags-Flash-Cards/dp/B0BT2LZ2L5/ref=sr_1_13?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-13
18,SPART - BTC Physical Bitcoin Cryptocurrency Gold Foil Un-Currency Money Model in Envelope Collections - Souvenir Collection Gift - Size (Approx):15.5cm 7.5cm,In-game Currency,₹240.00,5.0 out of 5 stars,https://www.amazon.in/SPART-Cryptocurrency-Currency-Collections-Collection/dp/B0D1VM421Y/ref=sr_1_14?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-14
19,"500 Dummy Indian Currency Duplicate Money Denomination All New 10, 20, 50, 100, 200, 500 Artificial Currency 2023 Trending Toys,Multicolor",In-game Currency,₹198.00,2.6 out of 5 stars,https://www.amazon.in/Currency-Duplicate-Denomination-Artificial-Multicolor/dp/B0CY88M576/ref=sr_1_15?dib=eyJ2IjoiMSJ9.F45sxEPMLbQ3u1ybuBThAbf8m1j3nefhJMCiNjSpQbtJuw3JjCp8Fom7kjScKILzEH1nCz14C5wFpj--_B0zlJrxCRlVPnLT13di08wJapxpdh3AhziNXU7iQdunURHL-MUN9N_kYh0ChxDupJMzHxyp_eFaUOlWtyPH-Jx1ie0ugrO9TOcjLEUh2xOPyZJIOJdLBpK8BfnGt9p05Gl1FXWuSQZd702v7rYld8cC862BRYK0Ab8SwoExwWTq-s1mgaCrrbRWmmnPm11B_SQw7bDpkVRc-ohI-x2F-JHpRfk.xAYXj9_PLXw_dwMXkobPYdpIdfhih29zd2WOtlZ5lqU&dib_tag=se&keywords=In-game+Currency&qid=1724432641&sr=8-15
